"play_game_id","player_position","timestamp","position_covered","position_backed_up","ball_go_to_coverer","ball_go_to_backer","ball_go_to_neither"
"1900_05_TeamKK_TeamB 218",4,8287906,4,6,1,0,0
"1900_05_TeamKK_TeamB 56",4,2233184,4,NA,1,0,0
"1901_02_TeamLG_TeamA3 282",4,10908790,4,NA,1,0,0
"1901_02_TeamLG_TeamA3 99",6,4238996,6,NA,1,0,0
"1901_05_TeamLI_TeamA3 12",6,315955,6,NA,1,0,0
"1901_05_TeamLI_TeamA3 81",6,2539203,6,NA,1,0,0
"1901_07_TeamLK_TeamB 122",4,4259800,4,NA,1,0,0
"1901_09_TeamLK_TeamB 145",6,5583380,6,NA,1,0,0
"1901_09_TeamLK_TeamB 64",4,2470233,4,NA,1,0,0
"1901_10_TeamLJ_TeamB 81",6,2925814,6,NA,1,0,0
"1901_11_TeamLJ_TeamB 174",4,6472940,4,NA,1,0,0
"1901_12_TeamLJ_TeamB 189",4,6546441,4,NA,1,0,0
"1901_13_TeamLL_TeamB 152",4,4842271,4,NA,1,0,0
"1901_14_TeamLL_TeamB 134",6,4738747,6,4,1,0,0
"1901_14_TeamLL_TeamB 75",6,2569849,6,4,1,0,0
"1901_16_TeamLH_TeamA3 100",4,3437024,4,NA,1,0,0
"1901_16_TeamLH_TeamA3 87",4,2984074,4,6,1,0,0
"1901_17_TeamLH_TeamA3 18",4,451844,4,NA,1,0,0
"1901_17_TeamLH_TeamA3 281",6,9704581,6,NA,1,0,0
"1901_17_TeamLH_TeamA3 46",6,1390889,6,NA,1,0,0
"1901_18_TeamLH_TeamA3 19",4,502503,4,NA,1,0,0
"1901_18_TeamLH_TeamA3 259",4,8936195,4,6,1,0,0
"1902_08_TeamMJ_TeamB 103",6,3772844,6,NA,1,0,0
"1902_08_TeamMJ_TeamB 12",6,285444,6,NA,1,0,0
"1902_08_TeamMJ_TeamB 169",6,6565544,6,NA,1,0,0
"1902_08_TeamMJ_TeamB 80",4,2887744,4,NA,1,0,0
"1902_09_TeamMJ_TeamB 296",4,11093955,4,NA,1,0,0
"1902_11_TeamMI_TeamA3 25",6,748252,6,NA,1,0,0
"1902_12_TeamMI_TeamA3 61",4,1944654,4,NA,1,0,0
"1902_13_TeamMD_TeamA2 86",4,3134580,4,6,1,0,0
"1902_16_TeamMD_TeamA2 49",6,1567873,6,NA,1,0,0
"1902_22_TeamMA_TeamA1 117",6,4073690,6,NA,1,0,0
"1902_23_TeamMA_TeamA1 80",6,2463238,6,NA,1,0,0
"1902_24_TeamMA_TeamA1 34",4,925643,4,NA,1,0,0
"1902_26_TeamMH_TeamA3 122",4,3835406,4,NA,1,0,0
"1902_26_TeamMH_TeamA3 135",6,4288006,6,NA,1,0,0
"1902_26_TeamMH_TeamA3 71",6,2315256,6,NA,1,0,0
"1902_28_TeamMC_TeamA1 147",6,5485355,6,NA,1,0,0
"1902_31_TeamMF_TeamA2 101",4,2898396,4,NA,1,0,0
"1903_01_TeamNE_TeamA2 259",4,8545286,4,NA,1,0,0
"1903_01_TeamNE_TeamA2 284",4,9427509,4,NA,1,0,0
"1903_01_TeamNE_TeamA2 301",6,10024149,6,NA,1,0,0
"1903_05_TeamND_TeamA2 114",6,3324362,6,NA,1,0,0
"1903_06_TeamND_TeamA2 141",4,4571374,4,NA,1,0,0
"1903_07_TeamND_TeamA2 101",6,2934773,6,NA,1,0,0
"1903_07_TeamND_TeamA2 57",4,1587673,4,NA,1,0,0
"1903_09_TeamNJ_TeamB 209",6,8077165,6,NA,1,0,0
"1903_11_TeamNC_TeamA1 117",6,9355486,6,4,1,0,0
"1903_12_TeamNC_TeamA1 178",4,6282754,4,NA,1,0,0
"1903_13_TeamNG_TeamA3 215",6,7249034,6,NA,1,0,0
"1903_14_TeamNG_TeamA3 106",6,4281782,6,NA,1,0,0
"1903_19_TeamNL_TeamB 25",6,778451,6,4,1,0,0
"1903_19_TeamNL_TeamB 41",6,1227751,6,NA,1,0,0
"1903_20_TeamNL_TeamB 232",6,7921666,6,NA,1,0,0
"1903_22_TeamNA_TeamA1 187",4,5633763,4,NA,1,0,0
"1903_22_TeamNA_TeamA1 64",4,1685363,4,NA,1,0,0
"1903_23_TeamNA_TeamA1 137",4,4334644,4,NA,1,0,0
"1903_25_TeamNK_TeamB 60",6,2169765,6,NA,1,0,0
"1903_25_TeamNK_TeamB 60",6,2172015,6,NA,1,0,0
"1903_29_TeamNF_TeamA2 122",6,4124521,6,NA,1,0,0
"1903_29_TeamNF_TeamA2 20",4,493604,4,NA,1,0,0
"1903_29_TeamNF_TeamA2 79",6,2593429,6,4,1,0,0
"1903_30_TeamNB_TeamA1 179",4,6002971,4,6,1,0,0
"1903_30_TeamNF_TeamA2 195",6,6085647,6,NA,1,0,0
"1903_30_TeamNF_TeamA2 77",4,2211547,4,NA,1,0,0
"1903_30_TeamNF_TeamA2 96",4,2772147,4,NA,1,0,0
"1903_31_TeamNB_TeamA1 25",6,825792,6,NA,1,0,0
