"play_game_id","position_covered","batter","group_1_2_percentage","group_4_5_percentage","tendency"
"1903_25_TeamNK_TeamB 114",4,1080,50,21.43,"Left"
"1902_28_TeamMC_TeamA1 147",6,1181,23.53,52.94,"Right"
"1903_07_TeamND_TeamA2 57",4,1195,15.38,53.85,"Right"
"1903_06_TeamND_TeamA2 141",4,1240,50,33.33,"Left"
"1901_09_TeamLK_TeamB 116",4,1334,12.5,87.5,"Right"
"1901_16_TeamLH_TeamA3 100",4,1470,50,33.33,"Left"
"1903_30_TeamNF_TeamA2 96",4,1557,42.86,28.58,"No Extreme Tendency"
"1902_08_TeamMJ_TeamB 169",6,1607,28.57,61.9,"Right"
"1902_26_TeamMH_TeamA3 71",6,1628,27.78,44.45,"Right"
"1901_11_TeamLJ_TeamB 208",6,1650,31.58,52.63,"Right"
"1901_12_TeamLJ_TeamB 258",4,1657,30.77,23.07,"No Extreme Tendency"
"1901_02_TeamLG_TeamA3 99",6,1693,50,50,"No Extreme Tendency"
"1901_09_TeamLK_TeamB 145",6,1748,16.67,75,"Right"
"1902_08_TeamMJ_TeamB 103",6,1748,16.67,75,"Right"
"1902_16_TeamMD_TeamA2 49",6,1751,14.29,42.86,"Right"
"1902_24_TeamMA_TeamA1 34",4,1771,40,33.33,"No Extreme Tendency"
"1901_02_TeamLG_TeamA3 268",6,1851,75,25,"Left"
"1903_19_TeamNL_TeamB 25",6,1918,22.22,55.55,"Right"
"1903_20_TeamNL_TeamB 232",6,1918,22.22,55.55,"Right"
"1903_25_TeamNK_TeamB 60",6,1918,22.22,55.55,"Right"
"1903_22_TeamNA_TeamA1 187",4,1945,50,30,"Left"
"1903_22_TeamNA_TeamA1 64",4,1945,50,30,"Left"
"1903_22_TeamNA_TeamA1 248",4,1945,50,30,"Left"
"1903_30_TeamNB_TeamA1 179",4,1945,50,30,"Left"
"1903_29_TeamNF_TeamA2 79",6,1972,27.78,33.33,"No Extreme Tendency"
"1902_11_TeamMI_TeamA3 25",6,2044,22.22,77.77,"Right"
"1903_01_TeamNE_TeamA2 301",6,2053,26.92,50,"Right"
"1901_16_TeamLH_TeamA3 87",4,2132,50,50,"No Extreme Tendency"
"1901_18_TeamLH_TeamA3 259",4,2132,50,50,"No Extreme Tendency"
"1903_05_TeamND_TeamA2 78",6,2137,14.28,78.57,"Right"
"1902_26_TeamMH_TeamA3 122",4,2141,75,12.5,"Left"
"1903_23_TeamNA_TeamA1 137",4,2148,53.33,20,"Left"
"1902_31_TeamMF_TeamA2 101",4,2207,0,75,"Right"
"1903_13_TeamNG_TeamA3 215",6,2222,23.53,64.71,"Right"
"1903_01_TeamNE_TeamA2 259",4,2382,52.94,29.41,"Left"
"1903_31_TeamNB_TeamA1 25",6,2386,20,60,"Right"
"1903_05_TeamND_TeamA2 114",6,2480,5.56,83.33,"Right"
"1900_05_TeamKK_TeamB 56",4,2488,50,0,"Left"
"1903_19_TeamNL_TeamB 41",6,2488,50,0,"Left"
"1903_07_TeamND_TeamA2 101",6,2526,20,53.33,"Right"
"1902_12_TeamMI_TeamA3 61",4,2569,50,0,"Left"
"1901_11_TeamLJ_TeamB 174",4,2614,0,0,"No Extreme Tendency"
"1901_13_TeamLL_TeamB 104",4,2818,57.15,28.57,"Left"
"1901_13_TeamLL_TeamB 152",4,2818,57.15,28.57,"Left"
"1903_29_TeamNF_TeamA2 122",6,2837,0,100,"Right"
"1901_02_TeamLG_TeamA3 282",4,2911,50,0,"Left"
"1902_23_TeamMA_TeamA1 80",6,3041,66.67,16.67,"Left"
"1903_09_TeamNJ_TeamB 209",6,3428,0,100,"Right"
"1901_10_TeamLJ_TeamB 207",4,3854,50,50,"No Extreme Tendency"
"1902_09_TeamMJ_TeamB 296",4,4103,100,0,"Left"
"1903_29_TeamNF_TeamA2 20",4,4454,50,0,"Left"
"1903_30_TeamNF_TeamA2 195",6,4728,0,0,"No Extreme Tendency"
"1902_01_TeamMG_TeamA3 74",6,4732,25,75,"Right"
"1902_26_TeamMH_TeamA3 135",6,5293,33.33,33.33,"No Extreme Tendency"
"1901_14_TeamLL_TeamB 75",6,5417,20,60,"Right"
"1901_14_TeamLL_TeamB 134",6,5417,20,60,"Right"
"1903_11_TeamNC_TeamA1 114",6,5654,25,75,"Right"
"1901_17_TeamLH_TeamA3 34",4,5814,0,100,"Right"
"1900_08_TeamKL_TeamB 270",6,6092,100,0,"Left"
"1901_10_TeamLJ_TeamB 81",6,6327,50,50,"No Extreme Tendency"
"1902_13_TeamMD_TeamA2 86",4,6386,66.66,33.33,"Left"
"1902_05_TeamML_TeamB 17",4,6528,40,20,"Left"
"1903_30_TeamNF_TeamA2 77",4,6689,25,50,"Right"
"1903_01_TeamNE_TeamA2 284",4,7148,100,0,"Left"
"1901_18_TeamLH_TeamA3 19",4,7219,0,100,"Right"
"1901_14_TeamLL_TeamB 7",6,7468,20,60,"Right"
"1901_17_TeamLH_TeamA3 281",6,7827,66.67,33.33,"Left"
"1901_09_TeamLK_TeamB 258",4,7830,50,50,"No Extreme Tendency"
"1903_11_TeamNC_TeamA1 117",6,7831,16.67,50,"Right"
"1901_09_TeamLK_TeamB 64",4,7908,50,0,"Left"
"1901_17_TeamLH_TeamA3 46",6,7952,0,0,"No Extreme Tendency"
"1903_12_TeamNC_TeamA1 178",4,8618,50,0,"Left"
"1901_07_TeamLK_TeamB 122",4,8695,75,0,"Left"
"1902_09_TeamMJ_TeamB 252",4,9087,50,0,"Left"
"1902_22_TeamMA_TeamA1 117",6,9258,0,33.33,"Right"
"1903_14_TeamNG_TeamA3 106",6,9348,33.33,33.33,"No Extreme Tendency"
"1902_08_TeamMJ_TeamB 12",6,9384,33.33,33.33,"No Extreme Tendency"
"1901_05_TeamLI_TeamA3 12",6,9389,0,50,"Right"
"1901_05_TeamLI_TeamA3 81",6,9460,66.66,33.33,"Left"
"1901_12_TeamLJ_TeamB 189",4,9679,33.33,0,"Left"
"1901_17_TeamLH_TeamA3 18",4,9759,50,50,"No Extreme Tendency"
"1902_08_TeamMJ_TeamB 80",4,9969,NA,NA,"No Extreme Tendency"
